4/5/2019,9:00:00 ;01, 36.21959,0;02, .0000004105095,0;03, .3550889,0;04, 21.44929,0;05, 20.00768,0;
4/5/2019,9:00:01 ;01, 36.21959,0;02, .0000004105095,0;03, .3550889,0;04, 21.44929,0;05, 20.00768,0;
4/5/2019,9:00:02 ;01, 36.21959,0;02, .000000553713,0;03, .3550889,0;04, 21.48669,0;05, 19.95999,0;
4/5/2019,9:00:03 ;01, 36.21959,0;02, .0000006193034,0;03, .3550889,0;04, 21.46799,0;05, 20.00207,0;
4/5/2019,9:00:04 ;01, 36.21959,0;02, .0000006193034,0;03, .3550889,0;04, 21.46799,0;05, 20.00207,0;
4/5/2019,9:00:05 ;01, 36.21959,0;02, .0000006314199,0;03, .3550889,0;04, 21.44929,0;05, 19.97401,0;
4/5/2019,9:00:06 ;01, 36.23351,0;02, .0000006830382,0;03, .3499466,0;04, 21.48669,0;05, 20.10036,0;
4/5/2019,9:00:07 ;01, 36.23351,0;02, .0000006830382,0;03, .3499466,0;04, 21.48669,0;05, 20.10036,0;
4/5/2019,9:00:08 ;01, 36.23351,0;02, .0000007123228,0;03, .3499466,0;04, 21.48669,0;05, 20.07508,0;
4/5/2019,9:00:09 ;01, 36.21264,0;02, .0000007161671,0;03, .3499466,0;04, 21.50539,0;05, 20.08631,0;
4/5/2019,9:00:10 ;01, 36.21264,0;02, .0000007161671,0;03, .3499466,0;04, 21.50539,0;05, 20.08631,0;
4/5/2019,9:00:11 ;01, 36.21959,0;02, .0000006041591,0;03, .3499466,0;04, 21.63629,0;05, 19.95718,0;
4/5/2019,9:00:12 ;01, 36.21959,0;02, .0000006041591,0;03, .3499466,0;04, 21.63629,0;05, 19.95718,0;
4/5/2019,9:00:13 ;01, 36.22655,0;02, .0000006874637,0;03, .3550889,0;04, 21.65499,0;05, 19.99926,0;
4/5/2019,9:00:14 ;01, 36.23351,0;02, .0000005118685,0;03, .3499466,0;04, 21.54279,0;05, 20.00207,0;
4/5/2019,9:00:15 ;01, 36.23351,0;02, .0000005118685,0;03, .3499466,0;04, 21.54279,0;05, 20.00207,0;
4/5/2019,9:00:16 ;01, 36.22655,0;02, .0000004421604,0;03, .3499466,0;04, 21.65499,0;05, 19.99926,0;
4/5/2019,9:00:17 ;01, 36.21959,0;02, .0000004988138,0;03, .3550889,0;04, 21.54279,0;05, 19.92072,0;
4/5/2019,9:00:18 ;01, 36.21959,0;02, .0000004988138,0;03, .3550889,0;04, 21.54279,0;05, 19.92072,0;
4/5/2019,9:00:19 ;01, 36.22655,0;02, .0000007772191,0;03, .3499466,0;04, 21.63629,0;05, 19.89828,0;
4/5/2019,9:00:20 ;01, 36.24046,0;02, .0000004972056,0;03, .3550889,0;04, 21.50539,0;05, 19.93194,0;
4/5/2019,9:00:21 ;01, 36.24046,0;02, .0000004972056,0;03, .3550889,0;04, 21.50539,0;05, 19.93194,0;
4/5/2019,9:00:22 ;01, 36.23351,0;02, .0000004924118,0;03, .3550889,0;04, 21.48669,0;05, 19.94316,0;
4/5/2019,9:00:23 ;01, 36.23351,0;02, .0000004924118,0;03, .3550889,0;04, 21.48669,0;05, 19.94316,0;
4/5/2019,9:00:24 ;01, 36.21959,0;02, .0000006720981,0;03, .3550889,0;04, 21.48669,0;05, 19.95438,0;
4/5/2019,9:00:25 ;01, 36.23351,0;02, .0000006348275,0;03, .3499466,0;04, 21.59889,0;05, 19.9067,0;
4/5/2019,9:00:26 ;01, 36.23351,0;02, .0000006348275,0;03, .3499466,0;04, 21.59889,0;05, 19.9067,0;
4/5/2019,9:00:27 ;01, 36.24046,0;02, .0000006355109,0;03, .3448042,0;04, 21.44929,0;05, 20.09755,0;
4/5/2019,9:00:28 ;01, 36.22655,0;02, .0000004860925,0;03, .3448042,0;04, 21.46799,0;05, 20.01049,0;
4/5/2019,9:00:29 ;01, 36.22655,0;02, .0000004860925,0;03, .3448042,0;04, 21.46799,0;05, 20.01049,0;
4/5/2019,9:00:30 ;01, 36.23351,0;02, .0000004369559,0;03, .3448042,0;04, 21.46799,0;05, 19.98804,0;
4/5/2019,9:00:31 ;01, 36.24046,0;02, .0000004061143,0;03, .3499466,0;04, 21.46799,0;05, 20.07227,0;
